group,date,value
1,2014-01,1677.83 
1,2013-01,1750.25 
1,2012-01,1222.09 
1,2011-01,752.50 
1,2010-01,826.18 
1,2009-01,686.62 
1,2008-01,690.78 
2,2014-01,940.68 
2,2013-01,1029.52 
2,2012-01,1494.57 
2,2011-01,571.18 
2,2010-01,552.61 
2,2009-01,549.30 
2,2008-01,419.86 
3,2014-01,918.84 
3,2013-01,891.95 
3,2012-01,1269.97 
3,2011-01,650.66 
3,2010-01,601.51 
3,2009-01,471.85 
3,2008-01,494.14 
4,2014-01,302.77 
4,2013-01,383.84 
4,2012-01,428.58 
4,2011-01,345.88 
4,2010-01,345.93 
4,2009-01,303.37 
4,2008-01,155.95 
5,2014-01,547.68 
5,2013-01,447.31 
5,2012-01,632.49 
5,2011-01,280.61 
5,2010-01,264.86 
5,2009-01,127.73 
5,2008-01,87.58 
6,2014-01,672.78 
6,2013-01,713.51 
6,2012-01,1535.08 
6,2011-01,675.77 
6,2010-01,641.03 
6,2009-01,823.16 
6,2008-01,1282.28 
